1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.048948	627.201626	0.001709	714.1
1	-0.219490	623.504937	0.012314	2.7
2	-0.000006	619.865785	0.000002	3.5
3	-0.894151	616.282728	0.007056	3.5
4	-0.839213	612.754375	0.007464	3.6
5	-0.294114	609.279381	0.006123	2.7
6	-0.379333	605.856447	0.012746	3.5
7	-0.026513	602.484317	0.001156	3.6
8	-1.262073	599.161779	0.009163	3.9
9	-0.092235	595.887656	0.002447	4.0
10	-1.130352	592.660813	0.011077	3.5
11	-1.182432	589.480151	0.006889	3.6
12	-0.714618	586.344606	0.008889	3.4
13	-1.078968	583.253145	0.008142	4.4
14	-0.556629	580.204771	0.005487	3.4
15	-0.739508	577.198517	0.009373	3.7
16	-1.035318	574.233444	0.015795	3.8
17	-0.089539	571.308645	0.002713	3.8
18	-0.540461	568.423237	0.011638	3.5
19	-0.737240	565.576365	0.010493	3.4
20	-1.065255	562.767201	0.008924	4.7
21	-0.645138	559.994938	0.013064	3.7
22	-0.892514	557.258797	0.010372	3.6
23	-0.000000	554.558018	0.000000	3.6
24	-0.000035	551.891865	0.000008	4.1
25	-1.413490	549.259621	0.007938	3.0
26	-0.326515	546.660592	0.008835	3.5
27	-0.742114	544.094102	0.004588	3.5
28	-0.000000	541.559494	0.000000	4.0
29	-0.108554	539.056129	0.003333	3.0
30	-1.176920	536.583387	0.024970	3.6
31	-1.311593	534.140663	0.014376	3.6
32	-0.941373	531.727370	0.016517	4.0
33	-0.881699	529.342935	0.005385	3.2
34	-0.000000	526.986802	0.000000	3.7
35	-0.555604	524.658430	0.013998	3.6
36	-0.024882	522.357290	0.000624	4.4
37	-1.030839	520.082868	0.010954	4.8
38	-0.595721	517.834665	0.013453	4.1
39	-1.324830	515.612193	0.020943	4.7
40	-1.040144	513.414976	0.013347	4.5
41	-1.205511	511.242551	0.013480	3.4
42	-0.799263	509.094468	0.011481	4.0
43	-1.171034	506.970285	0.020004	3.1
44	-1.219026	504.869574	0.018524	4.2
45	-0.000000	502.791916	0.000000	4.7
46	-0.101629	500.736903	0.000971	4.4
47	-0.640131	498.704137	0.009421	4.2
48	-0.000004	496.693228	0.000001	3.8
49	-1.095811	494.703798	0.012687	4.6
50	-0.743839	492.735476	0.005147	4.3
51	-0.000000	490.787900	0.000000	4.2
52	-0.787633	488.860718	0.004678	4.3
53	-0.882025	486.953585	0.007564	3.9
54	-0.826076	485.066164	0.014250	3.6
55	-0.027341	483.198126	0.000884	4.9
56	-1.461542	481.349149	0.014046	4.6
57	-1.359269	479.518920	0.010100	4.5
58	-0.172478	477.707132	0.001609	4.4
59	-0.793016	475.913485	0.005947	4.8
60	-0.054723	474.137684	0.001688	4.6
61	-1.027696	472.379445	0.007884	4.4
62	-0.155232	470.638485	0.004223	4.3
63	-1.387847	468.914531	0.014653	4.7
64	-1.008723	467.207315	0.009987	4.4
65	-0.000000	465.516573	0.000000	3.6
66	-1.089630	463.842050	0.007033	4.3
67	-0.822535	462.183494	0.013655	5.0
68	-0.754014	460.540658	0.007002	6.3
69	-1.269041	458.913303	0.011739	5.4
70	-0.462683	457.301192	0.009764	4.7
71	-0.814779	455.704096	0.010053	4.0
72	-0.942360	454.121787	0.015536	4.3
73	-0.941274	452.554045	0.007617	4.4
74	-0.310752	451.000653	0.003562	4.6
75	-1.017759	449.461399	0.007682	4.7
76	-0.675441	447.936075	0.008433	3.7
77	-0.506532	446.424477	0.020052	4.5
78	-0.341436	444.926406	0.008704	4.0
79	-0.455634	443.441666	0.005828	4.4
80	-0.000000	441.970065	0.000000	4.1
81	-0.000000	440.511415	0.000000	4.3
82	-1.471301	439.065533	0.017345	4.0
83	-0.805058	437.632238	0.016891	4.3
84	-1.040844	436.211351	0.014466	4.1
85	-0.000000	434.802701	0.000000	4.0
86	-0.906267	433.406117	0.012602	4.4
87	-0.887374	432.021430	0.009081	4.3
88	-1.066076	430.648479	0.005822	4.4
89	-0.000003	429.287101	0.000001	3.7
90	-0.506615	427.937140	0.006916	4.3
91	-0.086774	426.598440	0.004475	4.5
92	-1.127588	425.270849	0.008128	4.5
93	-0.033380	423.954220	0.001382	4.9
94	-0.324246	422.648404	0.004567	4.5
95	-1.098649	421.353259	0.009451	4.6
96	-0.521380	420.068643	0.003284	4.0
97	-0.379208	418.794419	0.008327	4.2
98	-1.232214	417.530451	0.012008	4.4
99	-0.527908	416.276604	0.003198	4.0
100	-0.962799	415.032748	0.010680	4.5
101	-1.206868	413.798754	0.018306	3.9
102	-0.877235	412.574495	0.015530	4.1
103	-1.482711	411.359849	0.023571	3.3
104	-0.004908	410.154691	0.000244	4.5
105	-1.048631	408.958904	0.012609	4.5
106	-1.120770	407.772368	0.012593	4.0
107	-1.042483	406.594968	0.016136	4.1
108	-1.391462	405.426590	0.012208	4.7
109	-0.927049	404.267122	0.010596	4.1
110	-1.327019	403.116456	0.012761	4.6
111	-1.447278	401.974481	0.007501	5.1
112	-0.203978	400.841093	0.005428	4.2
113	-0.257875	399.716187	0.005067	4.2
114	-1.231780	398.599660	0.008929	3.9
115	-0.906774	397.491411	0.004862	4.1
116	-0.000000	396.391342	0.000000	4.3
117	-1.124010	395.299353	0.014331	4.3
118	-0.604036	394.215350	0.004837	4.6
119	-0.115036	393.139238	0.003131	4.3
120	-0.360699	392.070924	0.004052	3.4
121	-0.355214	391.010316	0.004335	4.2
122	-0.961590	389.957325	0.011751	4.5
