1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.665288	0.000000	2031.934558	0.002457	820.1
1	-0.667825	0.000000	2031.934558	0.002351	2.5
2	-0.678720	0.000000	2031.934558	0.002614	2.6
3	-0.669159	0.987505	1940.676143	0.001990	2.7
4	-0.671546	1.986824	1856.308017	0.002233	2.7
5	-0.674406	1.487157	1897.555358	0.001796	2.7
6	-0.687236	2.487044	1816.772954	0.002353	2.8
7	-0.687099	1.987382	1856.262965	0.002595	2.5
8	-0.662676	2.987382	1778.877989	0.002638	2.7
9	-0.700105	3.987382	1707.686938	0.002154	2.8
10	-0.660478	4.987382	1641.974785	0.002511	2.5
11	-0.659555	5.987382	1581.132470	0.002743	2.7
12	-0.660579	6.987382	1524.637994	0.002504	2.6
13	-0.644256	6.487715	1552.352591	0.002243	2.5
14	-0.665090	7.487715	1497.860591	0.001939	2.6
15	-0.684387	8.487706	1447.064959	0.002827	2.6
16	-0.670034	7.988039	1472.008015	0.002275	2.4
17	-0.670696	7.488373	1497.826017	0.002316	2.7
18	-0.663867	8.488370	1447.032384	0.002864	2.5
19	-0.670464	9.488370	1399.570601	0.002674	2.5
20	-0.667185	8.988703	1422.890013	0.002754	2.6
21	-0.668041	9.988703	1376.973602	0.002272	2.7
22	-0.655188	10.988703	1333.927980	0.001942	2.5
23	-0.669740	11.988629	1293.494961	0.002536	2.5
24	-0.695468	12.988629	1255.438264	0.002491	2.5
25	-0.704582	12.488962	1274.169833	0.002536	2.4
26	-0.656179	11.989297	1293.468781	0.002053	2.6
27	-0.673095	12.989297	1255.413602	0.002256	2.4
28	-0.675082	12.489630	1274.144429	0.002243	2.5
29	-0.673848	11.989963	1293.442651	0.002537	2.7
30	-0.700223	11.490314	1313.333759	0.002547	2.5
31	-0.692820	10.990647	1333.846919	0.002392	2.8
32	-0.675300	10.667270	1347.467781	0.002198	2.5
33	-0.688610	10.167603	1369.069855	0.002817	2.7
34	-0.674340	9.667936	1391.375847	0.001966	2.4
35	-0.666684	10.667936	1347.439424	0.002263	2.5
36	-0.681239	11.667936	1306.192882	0.002304	2.5
37	-0.712371	11.168269	1326.481856	0.002252	2.7
38	-0.683113	12.168269	1286.489361	0.002662	2.6
39	-0.692871	13.168269	1248.837780	0.002244	2.7
40	-0.670888	14.168269	1213.327423	0.001722	2.5
41	-0.695515	13.743466	1228.162599	0.002039	2.5
42	-0.689464	14.742972	1193.818613	0.002088	2.6
43	-0.704428	14.284366	1209.335181	0.002929	2.5
44	-0.703161	15.190412	1179.058856	0.002190	2.6
45	-0.678534	16.190412	1147.355554	0.002183	2.6
46	-0.690668	17.190412	1117.312528	0.002515	2.4
47	-0.676520	16.690745	1132.124757	0.002077	2.5
48	-0.682670	17.690745	1102.863890	0.002569	2.5
49	-0.738784	18.690745	1075.077475	0.002283	2.4
50	-0.701687	18.191143	1088.782387	0.002176	2.5
51	-0.670877	18.159915	1089.650623	0.002363	2.5
52	-0.679268	19.159915	1062.517831	0.002502	2.4
53	-0.688040	20.159915	1036.703447	0.001996	2.7
54	-0.702469	19.660248	1049.443317	0.003157	2.8
55	-0.723158	20.656045	1024.356156	0.002404	2.9
56	-0.688815	21.656045	1000.341830	0.002517	3.0
57	-0.668365	21.156378	1012.198579	0.002303	3.1
58	-0.693337	22.156331	988.745440	0.002056	2.9
59	-0.689898	21.656664	1000.327294	0.001879	3.0
60	-0.711158	21.708895	999.103939	0.002037	2.9
61	-0.687732	21.209231	1010.931142	0.002118	3.0
62	-0.675110	20.709569	1023.041632	0.001943	3.1
63	-0.707105	21.709569	999.088179	0.002329	2.8
64	-0.727688	21.210005	1010.912596	0.002127	2.9
65	-0.678283	22.210005	987.517260	0.002532	2.6
66	-0.709725	23.194848	965.511317	0.002554	2.9
67	-0.680482	24.194848	944.148012	0.002069	2.9
68	-0.699080	25.194848	923.709629	0.002499	2.7
69	-0.689131	24.695181	933.810187	0.002076	3.0
70	-0.687688	24.195515	944.134083	0.002520	2.7
71	-0.675401	23.790554	952.670203	0.002081	2.9
72	-0.692231	24.790554	931.865252	0.002425	2.8
73	-0.673520	24.290887	942.145954	0.002262	3.0
74	-0.681456	25.242953	922.748730	0.002835	2.6
75	-0.684830	26.242952	903.216745	0.002574	3.0
76	-0.728032	27.242952	884.494492	0.002763	2.8
77	-0.705480	28.242952	866.532643	0.002718	2.7
78	-0.683522	29.242952	849.285793	0.002400	2.8
79	-0.700240	28.743324	857.816129	0.002233	2.9
80	-0.680817	29.737826	841.002253	0.002757	2.7
